province,period,metric,current_nominal_millions,prev_year_nominal_millions,source_current,source_prev_year,status,notes
Buenos Aires,2026-01,own_revenue,1314352.332820,,top_mensual_2026_normalizado.csv,,prefilled_current_only,
CABA,2026-01,own_revenue,1124942.900000,,top_mensual_2026_normalizado.csv,,prefilled_current_only,
CABA,2026-02,own_revenue,973721.700000,,top_mensual_2026_normalizado.csv,,prefilled_current_only,
Catamarca,2026-01,own_revenue,23332.945586,,top_mensual_2026_normalizado.csv,,prefilled_current_only,
Catamarca,2026-02,own_revenue,20973.172422,,top_mensual_2026_normalizado.csv,,prefilled_current_only,
Chaco,2026-01,own_revenue,48202.273860,,top_mensual_2026_normalizado.csv,,prefilled_current_only,
Chaco,2026-02,own_revenue,43429.837190,,top_mensual_2026_normalizado.csv,,prefilled_current_only,
Chubut,2026-01,own_revenue,18083.734079,,top_mensual_2026_normalizado.csv,,prefilled_current_only,
Chubut,2026-02,own_revenue,9560.190916,,top_mensual_2026_normalizado.csv,,prefilled_current_only,
Corrientes,2026-01,own_revenue,36675.857592,,top_mensual_2026_normalizado.csv,,prefilled_current_only,
Corrientes,2026-02,own_revenue,34887.551897,,top_mensual_2026_normalizado.csv,,prefilled_current_only,
Córdoba,2026-01,own_revenue,373544.681767,,top_mensual_2026_normalizado.csv,,prefilled_current_only,
Córdoba,2026-02,own_revenue,376446.766815,,top_mensual_2026_normalizado.csv,,prefilled_current_only,
Entre Ríos,2026-01,own_revenue,87247.694632,,top_mensual_2026_normalizado.csv,,prefilled_current_only,
Entre Ríos,2026-02,own_revenue,97862.766547,,top_mensual_2026_normalizado.csv,,prefilled_current_only,
Formosa,2026-01,own_revenue,15337.236645,,top_mensual_2026_normalizado.csv,,prefilled_current_only,
Formosa,2026-02,own_revenue,14915.340473,,top_mensual_2026_normalizado.csv,,prefilled_current_only,
Jujuy,2026-01,own_revenue,30033.856496,,top_mensual_2026_normalizado.csv,,prefilled_current_only,
Jujuy,2026-02,own_revenue,29678.524675,,top_mensual_2026_normalizado.csv,,prefilled_current_only,
La Rioja,2026-01,own_revenue,14321.042804,,top_mensual_2026_normalizado.csv,,prefilled_current_only,
La Rioja,2026-02,own_revenue,13051.323072,,top_mensual_2026_normalizado.csv,,prefilled_current_only,
Mendoza,2026-01,own_revenue,135271.852463,,top_mensual_2026_normalizado.csv,,prefilled_current_only,
Mendoza,2026-02,own_revenue,150573.079428,,top_mensual_2026_normalizado.csv,,prefilled_current_only,
Neuquén,2026-01,own_revenue,176997.605945,,top_mensual_2026_normalizado.csv,,prefilled_current_only,
Neuquén,2026-02,own_revenue,176514.961686,,top_mensual_2026_normalizado.csv,,prefilled_current_only,
Río Negro,2026-01,own_revenue,83827.530504,,top_mensual_2026_normalizado.csv,,prefilled_current_only,
Río Negro,2026-02,own_revenue,89190.591827,,top_mensual_2026_normalizado.csv,,prefilled_current_only,
San Juan,2026-01,own_revenue,32832.144931,,top_mensual_2026_normalizado.csv,,prefilled_current_only,
San Juan,2026-02,own_revenue,31578.628875,,top_mensual_2026_normalizado.csv,,prefilled_current_only,
San Luis,2026-01,own_revenue,32925.768205,,top_mensual_2026_normalizado.csv,,prefilled_current_only,
San Luis,2026-02,own_revenue,42241.453326,,top_mensual_2026_normalizado.csv,,prefilled_current_only,
Santa Cruz,2026-01,own_revenue,47440.916503,,top_mensual_2026_normalizado.csv,,prefilled_current_only,
Santa Cruz,2026-02,own_revenue,37099.322249,,top_mensual_2026_normalizado.csv,,prefilled_current_only,
Santiago del Estero,2026-01,own_revenue,22738.896735,,top_mensual_2026_normalizado.csv,,prefilled_current_only,
Santiago del Estero,2026-02,own_revenue,20785.314478,,top_mensual_2026_normalizado.csv,,prefilled_current_only,
Tierra del Fuego,2026-01,own_revenue,30622.400000,,top_mensual_2026_normalizado.csv,,prefilled_current_only,
Tucumán,2026-01,own_revenue,113499.019431,,top_mensual_2026_normalizado.csv,,prefilled_current_only,
Tucumán,2026-02,own_revenue,99218.207187,,top_mensual_2026_normalizado.csv,,prefilled_current_only,
Buenos Aires,2026-01,ron_total,1359359.689457,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Buenos Aires,2026-02,ron_total,1254277.977634,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Buenos Aires,2026-03,ron_total,1183103.706294,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
CABA,2026-01,ron_total,128756.200000,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
CABA,2026-02,ron_total,119022.300000,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
CABA,2026-03,ron_total,108759.800000,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Catamarca,2026-01,ron_total,148137.173553,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Catamarca,2026-02,ron_total,141248.817012,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Catamarca,2026-03,ron_total,131121.859506,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Chaco,2026-01,ron_total,275773.710905,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Chaco,2026-02,ron_total,255955.471618,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Chaco,2026-03,ron_total,236815.585840,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Chubut,2026-01,ron_total,88378.472861,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Chubut,2026-02,ron_total,82178.069686,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Chubut,2026-03,ron_total,77364.135624,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Corrientes,2026-01,ron_total,208013.475588,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Corrientes,2026-02,ron_total,193436.448815,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Corrientes,2026-03,ron_total,179554.035632,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Córdoba,2026-01,ron_total,484347.482518,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Córdoba,2026-02,ron_total,450858.223366,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Córdoba,2026-03,ron_total,413599.175112,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Entre Ríos,2026-01,ron_total,266779.937904,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Entre Ríos,2026-02,ron_total,247876.363658,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Entre Ríos,2026-03,ron_total,228369.314321,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Formosa,2026-01,ron_total,199434.577671,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Formosa,2026-02,ron_total,185113.925276,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Formosa,2026-03,ron_total,171501.625771,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Jujuy,2026-01,ron_total,155950.930858,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Jujuy,2026-02,ron_total,144671.157875,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Jujuy,2026-03,ron_total,134368.284746,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
La Pampa,2026-01,ron_total,103647.677464,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
La Pampa,2026-02,ron_total,96199.089946,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
La Pampa,2026-03,ron_total,89516.297946,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
La Rioja,2026-01,ron_total,112346.235797,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
La Rioja,2026-02,ron_total,103938.404267,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
La Rioja,2026-03,ron_total,96904.711127,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Mendoza,2026-01,ron_total,228306.708583,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Mendoza,2026-02,ron_total,212301.150147,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Mendoza,2026-03,ron_total,196141.924323,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Misiones,2026-01,ron_total,185733.743934,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Misiones,2026-02,ron_total,172602.706731,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Misiones,2026-03,ron_total,160767.258517,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Neuquén,2026-01,ron_total,97266.622484,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Neuquén,2026-02,ron_total,91002.485619,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Neuquén,2026-03,ron_total,85235.644790,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Río Negro,2026-01,ron_total,137907.406810,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Río Negro,2026-02,ron_total,128742.263907,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Río Negro,2026-03,ron_total,119397.235545,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Salta,2026-01,ron_total,220571.709265,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Salta,2026-02,ron_total,208825.091923,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Salta,2026-03,ron_total,195243.758150,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
San Juan,2026-01,ron_total,183022.698719,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
San Juan,2026-02,ron_total,170210.617683,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
San Juan,2026-03,ron_total,157060.816553,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
San Luis,2026-01,ron_total,122760.017037,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
San Luis,2026-02,ron_total,114453.653485,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
San Luis,2026-03,ron_total,105835.861524,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Santa Cruz,2026-01,ron_total,87210.037454,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Santa Cruz,2026-02,ron_total,80849.441327,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Santa Cruz,2026-03,ron_total,76247.380425,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Santa Fe,2026-01,ron_total,497876.706126,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Santa Fe,2026-02,ron_total,463176.169046,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Santa Fe,2026-03,ron_total,425013.957099,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Santiago del Estero,2026-01,ron_total,0.000000,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Santiago del Estero,2026-02,ron_total,0.000000,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Santiago del Estero,2026-03,ron_total,0.000000,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Tierra del Fuego,2026-01,ron_total,67247.826212,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Tierra del Fuego,2026-02,ron_total,62741.363331,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Tierra del Fuego,2026-03,ron_total,58579.758267,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Tucumán,2026-01,ron_total,261453.187499,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Tucumán,2026-02,ron_total,252771.069225,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Tucumán,2026-03,ron_total,224599.866179,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
