province,as_of_date,scenario_name,horizon_days,cash_start_millions,expected_own_revenue_millions,expected_nation_revenue_millions,expected_other_income_millions,expected_primary_expenditure_millions,expected_salary_outflow_millions,expected_aguinaldo_outflow_millions,expected_interest_outflow_millions,expected_debt_maturities_millions,expected_capex_outflow_millions,financing_available_millions,assumption_method,status,notes
Buenos Aires,2026-03-31,Base,90,,,,,,,,,,,,Caja y vencimientos: cargar desde tesorería/deuda provincial; ingresos mensuales: top_mensual + RON mensual 2025/2026.,partial,No hay todavía archivo de datos cargado para este bloque.
Buenos Aires,2026-03-31,Base,180,,,,,,,,,,,,Caja y vencimientos: cargar desde tesorería/deuda provincial; ingresos mensuales: top_mensual + RON mensual 2025/2026.,partial,No hay todavía archivo de datos cargado para este bloque.
Buenos Aires,2026-03-31,Nación adverso,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Buenos Aires,2026-03-31,Nación adverso,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Buenos Aires,2026-03-31,Macro adverso,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Buenos Aires,2026-03-31,Macro adverso,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Buenos Aires,2026-03-31,Estrés combinado,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Buenos Aires,2026-03-31,Estrés combinado,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
CABA,2026-03-31,Base,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
CABA,2026-03-31,Base,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
CABA,2026-03-31,Nación adverso,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
CABA,2026-03-31,Nación adverso,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
CABA,2026-03-31,Macro adverso,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
CABA,2026-03-31,Macro adverso,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
CABA,2026-03-31,Estrés combinado,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
CABA,2026-03-31,Estrés combinado,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Catamarca,2026-03-31,Base,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Catamarca,2026-03-31,Base,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Catamarca,2026-03-31,Nación adverso,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Catamarca,2026-03-31,Nación adverso,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Catamarca,2026-03-31,Macro adverso,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Catamarca,2026-03-31,Macro adverso,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Catamarca,2026-03-31,Estrés combinado,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Catamarca,2026-03-31,Estrés combinado,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Chaco,2026-03-31,Base,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Chaco,2026-03-31,Base,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Chaco,2026-03-31,Nación adverso,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Chaco,2026-03-31,Nación adverso,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Chaco,2026-03-31,Macro adverso,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Chaco,2026-03-31,Macro adverso,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Chaco,2026-03-31,Estrés combinado,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Chaco,2026-03-31,Estrés combinado,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Chubut,2026-03-31,Base,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Chubut,2026-03-31,Base,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Chubut,2026-03-31,Nación adverso,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Chubut,2026-03-31,Nación adverso,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Chubut,2026-03-31,Macro adverso,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Chubut,2026-03-31,Macro adverso,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Chubut,2026-03-31,Estrés combinado,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Chubut,2026-03-31,Estrés combinado,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Corrientes,2026-03-31,Base,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Corrientes,2026-03-31,Base,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Corrientes,2026-03-31,Nación adverso,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Corrientes,2026-03-31,Nación adverso,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Corrientes,2026-03-31,Macro adverso,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Corrientes,2026-03-31,Macro adverso,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Corrientes,2026-03-31,Estrés combinado,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Corrientes,2026-03-31,Estrés combinado,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Córdoba,2026-03-31,Base,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Córdoba,2026-03-31,Base,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Córdoba,2026-03-31,Nación adverso,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Córdoba,2026-03-31,Nación adverso,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Córdoba,2026-03-31,Macro adverso,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Córdoba,2026-03-31,Macro adverso,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Córdoba,2026-03-31,Estrés combinado,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Córdoba,2026-03-31,Estrés combinado,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Entre Ríos,2026-03-31,Base,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Entre Ríos,2026-03-31,Base,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Entre Ríos,2026-03-31,Nación adverso,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Entre Ríos,2026-03-31,Nación adverso,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Entre Ríos,2026-03-31,Macro adverso,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Entre Ríos,2026-03-31,Macro adverso,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Entre Ríos,2026-03-31,Estrés combinado,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Entre Ríos,2026-03-31,Estrés combinado,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Formosa,2026-03-31,Base,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Formosa,2026-03-31,Base,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Formosa,2026-03-31,Nación adverso,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Formosa,2026-03-31,Nación adverso,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Formosa,2026-03-31,Macro adverso,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Formosa,2026-03-31,Macro adverso,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Formosa,2026-03-31,Estrés combinado,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Formosa,2026-03-31,Estrés combinado,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Jujuy,2026-03-31,Base,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Jujuy,2026-03-31,Base,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Jujuy,2026-03-31,Nación adverso,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Jujuy,2026-03-31,Nación adverso,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Jujuy,2026-03-31,Macro adverso,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Jujuy,2026-03-31,Macro adverso,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Jujuy,2026-03-31,Estrés combinado,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Jujuy,2026-03-31,Estrés combinado,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
La Pampa,2026-03-31,Base,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
La Pampa,2026-03-31,Base,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
La Pampa,2026-03-31,Nación adverso,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
La Pampa,2026-03-31,Nación adverso,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
La Pampa,2026-03-31,Macro adverso,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
La Pampa,2026-03-31,Macro adverso,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
La Pampa,2026-03-31,Estrés combinado,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
La Pampa,2026-03-31,Estrés combinado,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
La Rioja,2026-03-31,Base,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
La Rioja,2026-03-31,Base,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
La Rioja,2026-03-31,Nación adverso,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
La Rioja,2026-03-31,Nación adverso,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
La Rioja,2026-03-31,Macro adverso,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
La Rioja,2026-03-31,Macro adverso,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
