province,as_of_date,scenario_name,horizon_days,cash_start_millions,expected_own_revenue_millions,expected_nation_revenue_millions,expected_other_income_millions,expected_primary_expenditure_millions,expected_salary_outflow_millions,expected_aguinaldo_outflow_millions,expected_interest_outflow_millions,expected_debt_maturities_millions,expected_capex_outflow_millions,financing_available_millions,assumption_method,status,notes
La Rioja,2026-03-31,Estrés combinado,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
La Rioja,2026-03-31,Estrés combinado,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Mendoza,2026-03-31,Base,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Mendoza,2026-03-31,Base,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Mendoza,2026-03-31,Nación adverso,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Mendoza,2026-03-31,Nación adverso,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Mendoza,2026-03-31,Macro adverso,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Mendoza,2026-03-31,Macro adverso,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Mendoza,2026-03-31,Estrés combinado,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Mendoza,2026-03-31,Estrés combinado,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Misiones,2026-03-31,Base,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Misiones,2026-03-31,Base,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Misiones,2026-03-31,Nación adverso,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Misiones,2026-03-31,Nación adverso,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Misiones,2026-03-31,Macro adverso,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Misiones,2026-03-31,Macro adverso,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Misiones,2026-03-31,Estrés combinado,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Misiones,2026-03-31,Estrés combinado,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Neuquén,2026-03-31,Base,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Neuquén,2026-03-31,Base,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Neuquén,2026-03-31,Nación adverso,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Neuquén,2026-03-31,Nación adverso,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Neuquén,2026-03-31,Macro adverso,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Neuquén,2026-03-31,Macro adverso,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Neuquén,2026-03-31,Estrés combinado,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Neuquén,2026-03-31,Estrés combinado,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Río Negro,2026-03-31,Base,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Río Negro,2026-03-31,Base,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Río Negro,2026-03-31,Nación adverso,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Río Negro,2026-03-31,Nación adverso,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Río Negro,2026-03-31,Macro adverso,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Río Negro,2026-03-31,Macro adverso,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Río Negro,2026-03-31,Estrés combinado,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Río Negro,2026-03-31,Estrés combinado,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Salta,2026-03-31,Base,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Salta,2026-03-31,Base,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Salta,2026-03-31,Nación adverso,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Salta,2026-03-31,Nación adverso,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Salta,2026-03-31,Macro adverso,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Salta,2026-03-31,Macro adverso,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Salta,2026-03-31,Estrés combinado,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Salta,2026-03-31,Estrés combinado,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
San Juan,2026-03-31,Base,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
San Juan,2026-03-31,Base,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
San Juan,2026-03-31,Nación adverso,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
San Juan,2026-03-31,Nación adverso,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
San Juan,2026-03-31,Macro adverso,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
San Juan,2026-03-31,Macro adverso,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
San Juan,2026-03-31,Estrés combinado,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
San Juan,2026-03-31,Estrés combinado,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
San Luis,2026-03-31,Base,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
San Luis,2026-03-31,Base,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
San Luis,2026-03-31,Nación adverso,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
San Luis,2026-03-31,Nación adverso,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
San Luis,2026-03-31,Macro adverso,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
San Luis,2026-03-31,Macro adverso,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
San Luis,2026-03-31,Estrés combinado,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
San Luis,2026-03-31,Estrés combinado,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Santa Cruz,2026-03-31,Base,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Santa Cruz,2026-03-31,Base,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Santa Cruz,2026-03-31,Nación adverso,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Santa Cruz,2026-03-31,Nación adverso,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Santa Cruz,2026-03-31,Macro adverso,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Santa Cruz,2026-03-31,Macro adverso,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Santa Cruz,2026-03-31,Estrés combinado,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Santa Cruz,2026-03-31,Estrés combinado,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Santa Fe,2026-03-31,Base,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Santa Fe,2026-03-31,Base,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Santa Fe,2026-03-31,Nación adverso,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Santa Fe,2026-03-31,Nación adverso,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Santa Fe,2026-03-31,Macro adverso,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Santa Fe,2026-03-31,Macro adverso,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Santa Fe,2026-03-31,Estrés combinado,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Santa Fe,2026-03-31,Estrés combinado,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Santiago del Estero,2026-03-31,Base,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Santiago del Estero,2026-03-31,Base,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Santiago del Estero,2026-03-31,Nación adverso,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Santiago del Estero,2026-03-31,Nación adverso,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Santiago del Estero,2026-03-31,Macro adverso,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Santiago del Estero,2026-03-31,Macro adverso,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Santiago del Estero,2026-03-31,Estrés combinado,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Santiago del Estero,2026-03-31,Estrés combinado,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Tierra del Fuego,2026-03-31,Base,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Tierra del Fuego,2026-03-31,Base,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Tierra del Fuego,2026-03-31,Nación adverso,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Tierra del Fuego,2026-03-31,Nación adverso,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Tierra del Fuego,2026-03-31,Macro adverso,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Tierra del Fuego,2026-03-31,Macro adverso,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Tierra del Fuego,2026-03-31,Estrés combinado,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Tierra del Fuego,2026-03-31,Estrés combinado,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Tucumán,2026-03-31,Base,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Tucumán,2026-03-31,Base,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Tucumán,2026-03-31,Nación adverso,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Tucumán,2026-03-31,Nación adverso,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Tucumán,2026-03-31,Macro adverso,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Tucumán,2026-03-31,Macro adverso,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Tucumán,2026-03-31,Estrés combinado,90,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
Tucumán,2026-03-31,Estrés combinado,180,,,,,,,,,,,,,missing,"Scaffold inicial. Completar caja, ingresos, egresos y financiamiento para habilitar escenarios auditables."
